age,avg_months
0,142.57
1,97.14
2,98.64
3,89.57
4,67.35
5,96.84
6,56.44
7,85.75
8,52.12
9,75.54
10,100.64
11,75.67
12,58.30
13,65.04
14,106.81
15,93.00
16,91.13
17,52.47
18,75.02
19,55.49
20,72.48
21,63.04
22,68.08
23,79.06
24,50.17
25,71.50
26,62.72
27,71.57
28,66.98
29,64.87
30,62.62
31,71.30
32,59.64
33,65.31
34,59.29
35,62.26
36,55.88
37,58.27
38,53.68
39,46.38
40,54.28
41,46.85
42,45.63
43,46.68
44,44.95
45,40.24
46,40.06
47,38.93
48,38.74
49,35.72
50,34.68
51,33.93
52,32.75
53,32.65
54,31.44
55,31.80
56,30.47
57,28.40
58,27.86
59,27.22
60,26.02
61,25.50
62,25.16
63,25.30
64,23.55
65,23.83
66,22.96
67,23.27
68,23.68
69,22.33
70,21.37
71,20.82
72,20.30
73,19.67
74,19.41
75,18.10
76,17.94
77,16.69
78,15.94
79,15.18
80,14.53
81,13.86
82,12.74
83,12.05
84,11.45
85,11.09
86,10.38
87,9.69
88,8.89
89,7.81
90,7.99
91,7.69
92,6.29
93,6.63
94,6.34
95,6.24
96,4.99
97,5.40
98,4.93
99,3.84
100,4.71
101,2.33
102,4.48
103,7.00
104,2.33
105,2.33
106,2.50
107,0.00
108,0.00
110,0.00
