age,avg_months
2,6.00
10,210.00
11,239.00
12,105.00
13,60.50
14,204.00
15,149.57
16,240.00
17,157.45
18,138.57
19,126.64
20,187.77
21,118.57
22,145.47
23,138.14
24,134.17
25,128.36
26,135.68
27,143.58
28,130.05
29,142.62
30,140.06
31,138.99
32,140.22
33,142.97
34,140.56
35,141.56
36,144.21
37,140.39
38,142.29
39,143.10
40,135.74
41,138.71
42,137.93
43,138.23
44,136.15
45,136.68
46,135.50
47,133.07
48,131.72
49,131.44
50,129.92
51,128.26
52,124.93
53,124.16
54,121.76
55,120.87
56,121.04
57,120.12
58,119.01
59,117.98
60,116.17
61,115.14
62,114.59
63,114.37
64,112.26
65,112.61
66,111.43
67,109.88
68,109.21
69,107.63
70,104.44
71,101.72
72,99.92
73,96.06
74,93.04
75,89.97
76,87.84
77,83.68
78,80.92
79,75.67
80,71.84
81,70.09
82,65.16
83,63.00
84,58.50
85,54.55
86,51.13
87,48.88
88,45.15
89,43.45
90,40.00
91,37.13
92,34.42
93,33.21
94,28.99
95,28.97
96,25.46
97,24.17
98,21.78
99,20.34
100,19.96
101,17.60
102,15.81
103,24.00
104,14.45
105,11.20
106,11.20
107,19.44
108,3.50
