age,avg_months
0,90.00
4,281.50
9,178.00
10,184.67
11,215.83
12,85.33
13,227.18
14,177.81
15,146.65
16,111.39
17,129.73
18,119.19
19,94.40
20,115.26
21,110.66
22,116.32
23,95.57
24,114.39
25,115.01
26,108.75
27,125.21
28,108.73
29,111.21
30,117.49
31,111.91
32,115.25
33,111.99
34,110.13
35,108.68
36,112.11
37,111.60
38,104.67
39,111.20
40,112.94
41,112.08
42,109.51
43,106.05
44,108.32
45,104.34
46,107.15
47,106.86
48,107.43
49,105.91
50,98.85
51,100.31
52,103.50
53,104.09
54,105.56
55,102.87
56,102.11
57,102.83
58,101.12
59,100.58
60,100.76
61,99.25
62,98.35
63,96.20
64,94.95
65,90.32
66,90.33
67,85.98
68,86.68
69,81.91
70,79.86
71,77.29
72,72.97
73,71.51
74,68.78
75,65.29
76,62.43
77,60.21
78,57.14
79,54.51
80,50.74
81,48.41
82,45.04
83,42.89
84,40.04
85,36.67
86,34.99
87,32.85
88,31.35
89,29.03
90,26.86
91,24.01
92,22.79
93,20.16
94,20.21
95,18.66
96,15.80
97,16.07
98,15.50
99,16.62
100,13.97
101,10.42
102,4.96
103,12.17
104,10.92
105,6.50
106,10.75
107,5.50
108,8.50
