age,avg_months
0,210.09
1,171.36
2,123.17
3,197.20
4,127.40
5,174.22
6,125.00
7,248.62
8,209.56
9,215.05
10,196.08
11,176.93
12,189.80
13,167.57
14,163.39
15,173.11
16,205.36
17,213.45
18,225.18
19,231.56
20,233.27
21,233.13
22,239.49
23,243.91
24,244.15
25,250.69
26,253.24
27,250.25
28,253.49
29,251.82
30,250.72
31,248.22
32,246.69
33,240.55
34,235.93
35,231.49
36,224.02
37,222.99
38,214.00
39,204.95
40,203.43
41,193.24
42,185.34
43,182.44
44,177.57
45,171.61
46,163.15
47,159.13
48,154.52
49,150.21
50,149.62
51,149.19
52,145.75
53,143.49
54,141.72
55,138.36
56,135.03
57,132.27
58,131.96
59,128.28
60,127.03
61,122.59
62,117.13
63,114.88
64,114.07
65,111.46
66,105.02
67,103.12
68,97.37
69,93.77
70,89.12
71,87.68
72,82.66
73,78.07
74,73.54
75,71.72
76,66.40
77,64.33
78,59.42
79,55.68
80,51.62
81,46.48
82,43.82
83,40.16
84,36.21
85,35.41
86,31.12
87,30.29
88,26.91
89,23.38
90,24.02
91,18.48
92,18.51
93,19.38
94,16.30
95,14.57
96,10.53
97,11.21
98,13.17
99,10.27
100,5.65
101,10.15
102,8.14
103,4.00
104,4.67
105,0.00
106,0.00
108,2.00
110,0.00
