age,avg_months
0,170.66
1,203.32
2,185.00
3,168.95
4,214.42
5,191.67
6,187.38
7,196.14
8,198.56
9,118.43
10,202.00
11,58.33
12,218.00
13,148.45
14,158.73
15,155.16
16,153.98
17,161.34
18,165.97
19,167.45
20,163.27
21,178.27
22,175.60
23,180.97
24,184.29
25,177.61
26,184.06
27,182.49
28,183.35
29,178.93
30,184.55
31,177.15
32,171.54
33,174.37
34,168.10
35,166.41
36,170.83
37,164.44
38,162.08
39,149.98
40,145.00
41,134.67
42,130.70
43,122.98
44,119.96
45,109.99
46,102.63
47,104.29
48,100.06
49,98.34
50,100.58
51,100.69
52,101.90
53,98.13
54,99.56
55,98.76
56,99.22
57,100.36
58,99.49
59,99.51
60,100.87
61,101.47
62,100.48
63,100.67
64,101.64
65,100.05
66,100.04
67,99.57
68,98.66
69,97.34
70,96.45
71,93.12
72,90.86
73,87.56
74,84.72
75,81.57
76,77.72
77,74.48
78,70.40
79,66.06
80,62.57
81,58.98
82,54.66
83,52.30
84,48.80
85,45.03
86,43.02
87,38.74
88,36.35
89,33.47
90,31.83
91,27.92
92,25.44
93,24.81
94,22.95
95,22.08
96,18.26
97,19.03
98,15.83
99,13.57
100,14.18
101,8.57
102,15.83
103,9.63
104,11.75
105,20.25
106,7.33
107,8.50
