age,avg_months
0,177.92
1,199.63
2,169.77
3,151.33
4,102.54
5,148.70
6,254.36
7,153.88
8,52.22
9,187.73
10,121.31
11,100.76
12,87.00
13,109.06
14,154.47
15,109.06
16,120.66
17,135.48
18,108.31
19,120.80
20,145.97
21,101.61
22,121.71
23,139.46
24,116.66
25,131.40
26,136.69
27,118.47
28,98.82
29,113.85
30,96.37
31,89.96
32,80.02
33,88.04
34,72.04
35,82.82
36,66.31
37,69.55
38,55.90
39,53.00
40,57.46
41,53.73
42,54.57
43,50.53
44,49.42
45,48.15
46,44.37
47,45.26
48,45.26
49,43.89
50,43.41
51,41.83
52,41.81
53,42.51
54,39.66
55,40.02
56,37.99
57,37.92
58,36.28
59,35.26
60,33.89
61,33.87
62,32.47
63,31.30
64,30.74
65,30.27
66,29.15
67,28.11
68,26.95
69,26.16
70,24.83
71,24.47
72,22.43
73,22.22
74,21.38
75,20.48
76,19.58
77,18.52
78,17.32
79,16.40
80,15.33
81,14.54
82,13.71
83,13.23
84,12.26
85,11.83
86,10.82
87,9.78
88,9.32
89,8.71
90,8.84
91,8.08
92,7.85
93,7.42
94,6.17
95,6.11
96,5.21
97,6.17
98,6.25
99,4.38
100,3.53
101,2.10
102,6.00
103,10.13
104,4.18
105,2.00
106,5.00
