"year","dead"
"1973","6859"
"1974","8980"
"1975","9034"
"1976","8718"
"1977","8662"
"1978","8721"
"1979","9031"
"1980","9100"
"1981","9532"
"1982","9502"
"1983","9965"
"1984","10491"
"1985","11217"
"1986","11455"
"1987","12228"
"1988","11634"
"1989","11155"
"1990","11534"
"1991","11440"
"1992","11100"
"1993","10642"
"1994","10469"
"1995","10417"
"1996","10034"
"1997","9949"
"1998","9843"
"1999","9135"
"2000","8379"
"2001","8031"
"2002","7159"
"2003","6210"
"2004","5796"
"2005","5037"
"2006","4339"
"2007","3714"
"2008","3002"
"2009","2311"
"2010","1427"
"2011","619"
