"year","dead"
"1973","7485"
"1974","8985"
"1975","9674"
"1976","10064"
"1977","10358"
"1978","10549"
"1979","10749"
"1980","11235"
"1981","11426"
"1982","11304"
"1983","11743"
"1984","12040"
"1985","12555"
"1986","12278"
"1987","12262"
"1988","11918"
"1989","11967"
"1990","11775"
"1991","11525"
"1992","11317"
"1993","11114"
"1994","10823"
"1995","10494"
"1996","10384"
"1997","10627"
"1998","10480"
"1999","9984"
"2000","9588"
"2001","9116"
"2002","8758"
"2003","8107"
"2004","7637"
"2005","6981"
"2006","6420"
"2007","5909"
"2008","5132"
"2009","4352"
"2010","3209"
"2011","1762"
