"year","count"
"1973","7685"
"1974","9243"
"1975","9962"
"1976","10438"
"1977","10785"
"1978","11021"
"1979","11284"
"1980","11791"
"1981","12099"
"1982","12031"
"1983","12562"
"1984","12976"
"1985","13727"
"1986","13591"
"1987","13695"
"1988","13481"
"1989","13737"
"1990","13688"
"1991","13614"
"1992","13622"
"1993","13510"
"1994","13467"
"1995","13279"
"1996","13600"
"1997","14242"
"1998","14664"
"1999","14573"
"2000","14381"
"2001","14306"
"2002","14457"
"2003","14097"
"2004","14004"
"2005","13749"
"2006","13579"
"2007","13698"
"2008","13610"
"2009","13302"
"2010","12856"
"2011","12619"
