"year","count"
"1973","7693"
"1974","9252"
"1975","10241"
"1976","10934"
"1977","11254"
"1978","11773"
"1979","12211"
"1980","12734"
"1981","13253"
"1982","13638"
"1983","13848"
"1984","14428"
"1985","14530"
"1986","14888"
"1987","15524"
"1988","15743"
"1989","15773"
"1990","16188"
"1991","16578"
"1992","16963"
"1993","16758"
"1994","16885"
"1995","16981"
"1996","17098"
"1997","17370"
"1998","17733"
"1999","17594"
"2000","17398"
"2001","17506"
"2002","17722"
"2003","18112"
"2004","17804"
"2005","18322"
"2006","18351"
"2007","18697"
"2008","18579"
"2009","18844"
"2010","18511"
"2011","18343"
