"year","alive"
"1973","31"
"1974","45"
"1975","44"
"1976","57"
"1977","54"
"1978","72"
"1979","77"
"1980","70"
"1981","87"
"1982","107"
"1983","134"
"1984","131"
"1985","174"
"1986","179"
"1987","193"
"1988","246"
"1989","250"
"1990","280"
"1991","331"
"1992","344"
"1993","387"
"1994","434"
"1995","456"
"1996","551"
"1997","676"
"1998","739"
"1999","860"
"2000","992"
"2001","1172"
"2002","1366"
"2003","1500"
"2004","1697"
"2005","1942"
"2006","2346"
"2007","2634"
"2008","3174"
"2009","3931"
"2010","5318"
"2011","8742"
