"year","count"
"1973","4981"
"1974","5782"
"1975","6045"
"1976","6179"
"1977","6164"
"1978","6166"
"1979","6542"
"1980","6559"
"1981","6679"
"1982","6738"
"1983","6932"
"1984","7026"
"1985","7157"
"1986","7203"
"1987","7347"
"1988","7498"
"1989","7532"
"1990","7656"
"1991","7985"
"1992","8067"
"1993","8125"
"1994","8251"
"1995","8297"
"1996","8773"
"1997","9078"
"1998","9301"
"1999","9499"
"2000","9508"
"2001","9759"
"2002","10269"
"2003","10430"
"2004","10989"
"2005","11163"
"2006","11653"
"2007","11907"
"2008","12398"
"2009","13028"
"2010","13136"
"2011","13503"
