"name","year","dead"
"Breast","1973","6859"
"Breast","1974","8980"
"Breast","1975","9034"
"Breast","1976","8718"
"Breast","1977","8662"
"Breast","1978","8721"
"Breast","1979","9031"
"Breast","1980","9100"
"Breast","1981","9532"
"Breast","1982","9502"
"Breast","1983","9965"
"Breast","1984","10491"
"Breast","1985","11217"
"Breast","1986","11455"
"Breast","1987","12228"
"Breast","1988","11634"
"Breast","1989","11155"
"Breast","1990","11534"
"Breast","1991","11440"
"Breast","1992","11100"
"Breast","1993","10642"
"Breast","1994","10469"
"Breast","1995","10417"
"Breast","1996","10034"
"Breast","1997","9949"
"Breast","1998","9843"
"Breast","1999","9135"
"Breast","2000","8379"
"Breast","2001","8031"
"Breast","2002","7159"
"Breast","2003","6210"
"Breast","2004","5796"
"Breast","2005","5037"
"Breast","2006","4339"
"Breast","2007","3714"
"Breast","2008","3002"
"Breast","2009","2311"
"Breast","2010","1427"
"Breast","2011","619"
