"year","dead"
"1973","4491"
"1974","5320"
"1975","6094"
"1976","6453"
"1977","6807"
"1978","6822"
"1979","7182"
"1980","7515"
"1981","7777"
"1982","7957"
"1983","8360"
"1984","8447"
"1985","8894"
"1986","9275"
"1987","10447"
"1988","10831"
"1989","11472"
"1990","13287"
"1991","16472"
"1992","17980"
"1993","15535"
"1994","12869"
"1995","11501"
"1996","10754"
"1997","10424"
"1998","9701"
"1999","9636"
"2000","8956"
"2001","7912"
"2002","6971"
"2003","6182"
"2004","5259"
"2005","4460"
"2006","4060"
"2007","3401"
"2008","2559"
"2009","1899"
"2010","1187"
"2011","515"
