"age","avg_months"
"0","142.571428571"
"1","97.1374407583"
"2","98.6446280992"
"3","89.5657894737"
"4","67.3488372093"
"5","96.8444444444"
"6","56.4375"
"7","85.75"
"8","52.12"
"9","75.5416666667"
"10","100.64"
"11","75.6666666667"
"12","58.303030303"
"13","65.037037037"
"14","106.8125"
"15","93.0"
"16","91.125"
"17","52.4651162791"
"18","75.0212765957"
"19","55.4920634921"
"20","72.4805194805"
"21","63.0384615385"
"22","68.0833333333"
"23","79.0566037736"
"24","50.1654135338"
"25","71.5"
"26","62.7193877551"
"27","71.5744680851"
"28","66.975308642"
"29","64.8654545455"
"30","62.6194968553"
"31","71.3049095607"
"32","59.6430317848"
"33","65.3117408907"
"34","59.2906309751"
"35","62.2630769231"
"36","55.8829201102"
"37","58.2658079625"
"38","53.6758241758"
"39","46.3843351548"
"40","54.2810722989"
"41","46.8515625"
"42","45.628852459"
"43","46.6844192635"
"44","44.9489087302"
"45","40.2387209812"
"46","40.0608625554"
"47","38.9293361884"
"48","38.7447291599"
"49","35.7243846594"
"50","34.6832694764"
"51","33.9339175746"
"52","32.7542299349"
"53","32.6536850921"
"54","31.4422662223"
"55","31.7961942024"
"56","30.4679712326"
"57","28.3979033015"
"58","27.8617310012"
"59","27.2249195671"
"60","26.0177733542"
"61","25.5030100334"
"62","25.1649511401"
"63","25.3043972707"
"64","23.5504039776"
"65","23.8271619685"
"66","22.9637469302"
"67","23.2662590328"
"68","23.682448165"
"69","22.3309463479"
"70","21.368256366"
"71","20.8193674601"
"72","20.2995260664"
"73","19.6695679864"
"74","19.4145186744"
"75","18.097071758"
"76","17.9375685758"
"77","16.6897163121"
"78","15.9352402746"
"79","15.1829166168"
"80","14.5318423048"
"81","13.8575970327"
"82","12.7418066648"
"83","12.0541641521"
"84","11.4525840442"
"85","11.0924676272"
"86","10.3791708797"
"87","9.68539325843"
"88","8.88944168049"
"89","7.81451881452"
"90","7.9871434311"
"91","7.68897835934"
"92","6.28734092431"
"93","6.62695152013"
"94","6.34337997847"
"95","6.24256651017"
"96","4.98770491803"
"97","5.39739413681"
"98","4.92822966507"
"99","3.84482758621"
"100","4.70588235294"
"101","2.32608695652"
"102","4.48148148148"
"103","7.0"
"104","2.33333333333"
"105","2.33333333333"
"106","2.5"
"107","0.0"
"108","0.0"
"110","0.0"
