"age","avg_months"
"0","71.8983957219"
"1","123.197183099"
"2","149.871448864"
"3","147.905874027"
"4","143.719314079"
"5","146.320231214"
"6","141.370898716"
"7","135.090062112"
"8","141.044444444"
"9","136.761403509"
"10","132.134790528"
"11","130.696721311"
"12","131.164917541"
"13","136.589095745"
"14","134.581111111"
"15","131.062365591"
"16","141.537017727"
"17","140.324545455"
"18","142.463587922"
"19","143.769676885"
"20","138.568938193"
"21","135.070411392"
"22","140.582633053"
"23","133.302718589"
"24","134.87293956"
"25","130.173884939"
"26","134.751777634"
"27","130.075785582"
"28","122.97323601"
"29","119.678883072"
"30","119.163383546"
"31","113.446844798"
"32","105.990531299"
"33","107.829820864"
"34","106.985930172"
"35","100.017926357"
"36","102.357864358"
"37","100.09901915"
"38","99.9029649596"
"39","94.9572758037"
"40","93.2825040128"
"41","96.9743902439"
"42","90.6742147553"
"43","89.5306122449"
"44","87.4817699115"
"45","89.2252604167"
"46","87.0892298059"
"47","85.8334844364"
"48","86.0479024943"
"49","81.5840945728"
"50","81.4944594927"
"51","82.208893006"
"52","80.0583201982"
"53","79.8631379165"
"54","76.5752212389"
"55","77.4972952087"
"56","73.7701281316"
"57","72.5198663854"
"58","70.7669069688"
"59","68.7683914697"
"60","66.8360734238"
"61","65.883983891"
"62","63.5668257757"
"63","63.263659001"
"64","59.2328690808"
"65","59.7490545651"
"66","57.2589506575"
"67","56.8011021402"
"68","55.7987168197"
"69","53.3948087432"
"70","51.1757494842"
"71","49.6542033818"
"72","47.3637982196"
"73","45.6617126681"
"74","43.6930155734"
"75","41.1010599855"
"76","38.4728169353"
"77","37.8162031439"
"78","34.7310577644"
"79","32.5526756931"
"80","30.8602780807"
"81","28.847593201"
"82","28.7664818238"
"83","25.7814986737"
"84","25.0679576178"
"85","22.8135978508"
"86","20.5546910755"
"87","19.3076112721"
"88","17.7635345364"
"89","16.9037945573"
"90","16.3614762386"
"91","14.2009626955"
"92","14.7190213102"
"93","13.1594059406"
"94","12.0892143808"
"95","11.3474747475"
"96","12.2479784367"
"97","9.85407725322"
"98","11.5151515152"
"99","8.95833333333"
"100","8.8253968254"
"101","8.18181818182"
"102","10.2380952381"
"103","3.0"
"104","7.55555555556"
"106","22.0"
"109","23.0"
"111","0.0"
