"age","avg_months"
"2","6.0"
"10","210.0"
"11","239.0"
"12","105.0"
"13","60.5"
"14","204.0"
"15","149.571428571"
"16","240.0"
"17","157.454545455"
"18","138.571428571"
"19","126.64"
"20","187.769230769"
"21","118.571428571"
"22","145.471910112"
"23","138.144927536"
"24","134.168949772"
"25","128.356687898"
"26","135.683856502"
"27","143.577106518"
"28","130.053864169"
"29","142.61588181"
"30","140.055039314"
"31","138.987243483"
"32","140.219878106"
"33","142.969261477"
"34","140.558921438"
"35","141.560621498"
"36","144.206912233"
"37","140.385195475"
"38","142.285388928"
"39","143.096440523"
"40","135.743945828"
"41","138.709535345"
"42","137.928813559"
"43","138.228211219"
"44","136.145835084"
"45","136.681404617"
"46","135.501911369"
"47","133.066095799"
"48","131.716852341"
"49","131.439871625"
"50","129.920404681"
"51","128.262932373"
"52","124.930711728"
"53","124.15777653"
"54","121.76271399"
"55","120.873152329"
"56","121.044460866"
"57","120.124946117"
"58","119.011648154"
"59","117.981740129"
"60","116.167212529"
"61","115.140680093"
"62","114.587109768"
"63","114.365282151"
"64","112.255547472"
"65","112.610081585"
"66","111.433371958"
"67","109.884598805"
"68","109.214743793"
"69","107.633519482"
"70","104.441875739"
"71","101.71697861"
"72","99.9207794817"
"73","96.0598052851"
"74","93.0394474509"
"75","89.9719516661"
"76","87.8389008222"
"77","83.6839107366"
"78","80.9201517776"
"79","75.6662866164"
"80","71.8389541493"
"81","70.092174451"
"82","65.1597494127"
"83","62.9968160666"
"84","58.5038897229"
"85","54.5519530647"
"86","51.1320654106"
"87","48.8832434674"
"88","45.1499023438"
"89","43.4515938607"
"90","40.0027322404"
"91","37.1269393512"
"92","34.4176829268"
"93","33.2050078247"
"94","28.9912959381"
"95","28.9696531792"
"96","25.4606060606"
"97","24.1666666667"
"98","21.7835497835"
"99","20.3416149068"
"100","19.9565217391"
"101","17.6"
"102","15.8055555556"
"103","24.0"
"104","14.4545454545"
"105","11.2"
"106","11.2"
"107","19.4444444444"
"108","3.5"
