"age","avg_months"
"0","90.0"
"4","281.5"
"9","178.0"
"10","184.666666667"
"11","215.833333333"
"12","85.3333333333"
"13","227.181818182"
"14","177.80952381"
"15","146.647058824"
"16","111.388888889"
"17","129.733333333"
"18","119.189189189"
"19","94.4032258065"
"20","115.25862069"
"21","110.662162162"
"22","116.324561404"
"23","95.5743243243"
"24","114.38961039"
"25","115.010695187"
"26","108.752173913"
"27","125.205761317"
"28","108.733108108"
"29","111.209497207"
"30","117.492170022"
"31","111.910416667"
"32","115.254205607"
"33","111.986196319"
"34","110.128057554"
"35","108.67893401"
"36","112.11328976"
"37","111.601609658"
"38","104.671615721"
"39","111.2"
"40","112.942391985"
"41","112.082850521"
"42","109.5074093"
"43","106.048342541"
"44","108.317559153"
"45","104.343012704"
"46","107.145140248"
"47","106.863804379"
"48","107.431034483"
"49","105.913320737"
"50","98.8514234875"
"51","100.311340206"
"52","103.50132582"
"53","104.088207985"
"54","105.562986451"
"55","102.86779661"
"56","102.113978495"
"57","102.833572453"
"58","101.119587166"
"59","100.582687879"
"60","100.759574256"
"61","99.2468161946"
"62","98.3468729852"
"63","96.2009548611"
"64","94.9475404341"
"65","90.3244651886"
"66","90.3299480757"
"67","85.9840654923"
"68","86.6807119506"
"69","81.9118159638"
"70","79.8625865259"
"71","77.2886981209"
"72","72.9748787134"
"73","71.5144089394"
"74","68.7777414075"
"75","65.2929524059"
"76","62.4295490094"
"77","60.2114516672"
"78","57.1359433007"
"79","54.5131755563"
"80","50.7357946138"
"81","48.4105520348"
"82","45.0442725477"
"83","42.8861330327"
"84","40.0388147307"
"85","36.668505357"
"86","34.9901902141"
"87","32.8482469203"
"88","31.3458599719"
"89","29.0318687535"
"90","26.8624849216"
"91","24.0070319367"
"92","22.7881231672"
"93","20.1596638655"
"94","20.2078431373"
"95","18.6610470275"
"96","15.8013157895"
"97","16.0654396728"
"98","15.4967741935"
"99","16.6206896552"
"100","13.9677419355"
"101","10.4246575342"
"102","4.95744680851"
"103","12.1666666667"
"104","10.9230769231"
"105","6.5"
"106","10.75"
"107","5.5"
"108","8.5"
