"age","avg_months"
"0","210.090909091"
"1","171.363636364"
"2","123.166666667"
"3","197.2"
"4","127.4"
"5","174.222222222"
"6","125.0"
"7","248.615384615"
"8","209.5625"
"9","215.045454545"
"10","196.081081081"
"11","176.933333333"
"12","189.803571429"
"13","167.571428571"
"14","163.391752577"
"15","173.110047847"
"16","205.360097324"
"17","213.449579832"
"18","225.17727639"
"19","231.563112078"
"20","233.271726755"
"21","233.125261584"
"22","239.486875726"
"23","243.91302629"
"24","244.14620462"
"25","250.694968553"
"26","253.243523316"
"27","250.251021753"
"28","253.485288399"
"29","251.815847491"
"30","250.722445279"
"31","248.222024624"
"32","246.686931818"
"33","240.55222565"
"34","235.92942241"
"35","231.49472524"
"36","224.017892977"
"37","222.994262865"
"38","214.000882768"
"39","204.95181835"
"40","203.431518003"
"41","193.237853517"
"42","185.344301915"
"43","182.438808838"
"44","177.56750187"
"45","171.612543427"
"46","163.150364964"
"47","159.130442478"
"48","154.52446081"
"49","150.207794447"
"50","149.62394549"
"51","149.191836735"
"52","145.754081016"
"53","143.492374728"
"54","141.716920497"
"55","138.364479513"
"56","135.033409982"
"57","132.274901445"
"58","131.956492815"
"59","128.278564929"
"60","127.031512869"
"61","122.585774594"
"62","117.13215575"
"63","114.881417774"
"64","114.06870229"
"65","111.457251508"
"66","105.018376723"
"67","103.123841618"
"68","97.370053631"
"69","93.7665770609"
"70","89.1175180194"
"71","87.6821631879"
"72","82.6647010647"
"73","78.0676729986"
"74","73.5412762949"
"75","71.7222324215"
"76","66.404494382"
"77","64.3278214138"
"78","59.4184688581"
"79","55.6791887532"
"80","51.6168993021"
"81","46.4760198456"
"82","43.819870283"
"83","40.1567307692"
"84","36.2088495575"
"85","35.4065008026"
"86","31.1193473193"
"87","30.2877155172"
"88","26.9138695377"
"89","23.3768844221"
"90","24.0177902622"
"91","18.4789410349"
"92","18.5135566188"
"93","19.3757225434"
"94","16.2975206612"
"95","14.5658362989"
"96","10.5323383085"
"97","11.213740458"
"98","13.1666666667"
"99","10.2692307692"
"100","5.64864864865"
"101","10.1481481481"
"102","8.14285714286"
"103","4.0"
"104","4.66666666667"
"105","0.0"
"106","0.0"
"108","2.0"
"110","0.0"
