"age","avg_months"
"0","170.661016949"
"1","203.323529412"
"2","185.0"
"3","168.95"
"4","214.421052632"
"5","191.666666667"
"6","187.375"
"7","196.142857143"
"8","198.555555556"
"9","118.428571429"
"10","202.0"
"11","58.3333333333"
"12","218.0"
"13","148.454545455"
"14","158.725"
"15","155.157894737"
"16","153.979166667"
"17","161.336099585"
"18","165.971428571"
"19","167.448648649"
"20","163.273127753"
"21","178.269814503"
"22","175.60141844"
"23","180.969002695"
"24","184.28643853"
"25","177.608187135"
"26","184.060409924"
"27","182.485686081"
"28","183.353707415"
"29","178.928971963"
"30","184.551551552"
"31","177.148622047"
"32","171.537282942"
"33","174.370182556"
"34","168.099593496"
"35","166.414893617"
"36","170.832167832"
"37","164.441527446"
"38","162.076923077"
"39","149.977301387"
"40","145.003325942"
"41","134.674082314"
"42","130.696373057"
"43","122.980256663"
"44","119.959860384"
"45","109.992148465"
"46","102.6340882"
"47","104.294736842"
"48","100.061538462"
"49","98.3387996064"
"50","100.578677726"
"51","100.688661516"
"52","101.895787546"
"53","98.1316404424"
"54","99.5621856735"
"55","98.7590072058"
"56","99.2173155738"
"57","100.364976959"
"58","99.489172499"
"59","99.5067612503"
"60","100.874278648"
"61","101.46624"
"62","100.48085411"
"63","100.665262458"
"64","101.640578187"
"65","100.050363845"
"66","100.040998723"
"67","99.5729420977"
"68","98.6566809959"
"69","97.3440798481"
"70","96.4503398278"
"71","93.1246943765"
"72","90.8568602769"
"73","87.5592024956"
"74","84.7224177287"
"75","81.5720385813"
"76","77.7226060155"
"77","74.4846455129"
"78","70.4042761148"
"79","66.0631279884"
"80","62.5716464638"
"81","58.9819563153"
"82","54.6580406654"
"83","52.2963489287"
"84","48.7995498312"
"85","45.0253837072"
"86","43.0206626291"
"87","38.7377930738"
"88","36.3481228669"
"89","33.4745762712"
"90","31.8277931671"
"91","27.9206161137"
"92","25.4393019727"
"93","24.8066132265"
"94","22.9539375929"
"95","22.0824524313"
"96","18.2551319648"
"97","19.0251256281"
"98","15.8322147651"
"99","13.5694444444"
"100","14.1794871795"
"101","8.57142857143"
"102","15.8333333333"
"103","9.625"
"104","11.75"
"105","20.25"
"106","7.33333333333"
"107","8.5"
