"age","avg_months"
"0","177.920863309"
"1","199.630769231"
"2","169.769230769"
"3","151.333333333"
"4","102.538461538"
"5","148.7"
"6","254.363636364"
"7","153.875"
"8","52.2222222222"
"9","187.733333333"
"10","121.307692308"
"11","100.764705882"
"12","87.0"
"13","109.055555556"
"14","154.470588235"
"15","109.057142857"
"16","120.659574468"
"17","135.476190476"
"18","108.31372549"
"19","120.8"
"20","145.968253968"
"21","101.613636364"
"22","121.708860759"
"23","139.45631068"
"24","116.663551402"
"25","131.403846154"
"26","136.694214876"
"27","118.466666667"
"28","98.8193548387"
"29","113.845637584"
"30","96.3714285714"
"31","89.9552238806"
"32","80.0236686391"
"33","88.0429447853"
"34","72.0441860465"
"35","82.8156862745"
"36","66.3070866142"
"37","69.5481012658"
"38","55.9043010753"
"39","52.9957118353"
"40","57.4568165596"
"41","53.7348261638"
"42","54.5712846348"
"43","50.5317426502"
"44","49.4214755296"
"45","48.1523033532"
"46","44.3707482993"
"47","45.2556424581"
"48","45.2603479304"
"49","43.8863244919"
"50","43.4124175165"
"51","41.8340599815"
"52","41.808411215"
"53","42.5085771948"
"54","39.6628524724"
"55","40.0170758723"
"56","37.9922407104"
"57","37.9240496198"
"58","36.2758185463"
"59","35.2606284658"
"60","33.8887670172"
"61","33.8667737749"
"62","32.4667610452"
"63","31.3017838051"
"64","30.7386307396"
"65","30.2738962045"
"66","29.1532126049"
"67","28.1053291851"
"68","26.9522663655"
"69","26.1630020522"
"70","24.8266501241"
"71","24.4692085038"
"72","22.4345126937"
"73","22.2192406362"
"74","21.3842071747"
"75","20.4807167049"
"76","19.5766555449"
"77","18.5154832466"
"78","17.3215050276"
"79","16.4044122813"
"80","15.333903444"
"81","14.5384087203"
"82","13.7062583476"
"83","13.2283221619"
"84","12.2550369165"
"85","11.8345118098"
"86","10.8191060473"
"87","9.77579151411"
"88","9.3167752443"
"89","8.70594297492"
"90","8.84131455399"
"91","8.0776228017"
"92","7.85173501577"
"93","7.41555555556"
"94","6.1674796748"
"95","6.11287128713"
"96","5.21230769231"
"97","6.17307692308"
"98","6.24626865672"
"99","4.37894736842"
"100","3.53333333333"
"101","2.09677419355"
"102","6.0"
"103","10.1333333333"
"104","4.18181818182"
"105","2.0"
"106","5.0"
