Cluster1,Cluster2,Cluster3
45,76,60
54,78,70
45,76,59
46,76,65
55,87,61
37,78,65
50,78,67
50,88,67
51,73,70
52,76,68
45,89,58
46,77,72
45,78,69
39,79,60
39,81,59
40,78,63
42,87,64
43,81,66
53,74,68
41,73,66
50,79,72
47,88,65
55,81,61
52,80,61
48,74,70
53,81,72
44,80,65
46,81,62
52,81,72
55,81,68
54,83,70
50,73,67
50,76,56
43,84,59
54,85,70
50,74,66
52,75,64
45,73,69
53,79,71
49,73,59
52,88,72
45,75,60
54,78,69
46,84,62
54,89,57
49,91,71
53,90,57
45,76,60
46,76,71
51,73,68
51,91,57
47,89,71
48,90,65
54,77,66
52,85,59
45,84,58
49,90,69
48,79,71
51,75,65
54,86,70
54,85,67
54,83,67
55,81,68
49,78,70
50,81,60
51,88,62
53,75,57
46,80,69
48,81,70
51,85,72
49,78,70
52,86,66
52,77,57
54,80,65
54,80,70
47,80,69
52,74,68
41,85,72
52,80,70
48,83,63
40,82,68
53,74,72
40,75,66
53,79,66
55,83,69
50,80,70
55,82,64
47,75,61
41,84,64
46,83,71
49,73,69
42,78,60
44,73,67
53,80,68
54,78,60
49,77,56
55,80,67
46,85,70
55,78,65
47,87,72
51,81,57
41,80,70
34,77,70
49,74,59
39,83,57
44,85,65
51,95,70
55,90,69
53,84,72
42,75,69
52,74,72
55,80,66
44,81,71
38,74,69
48,83,66
55,83,68
50,82,60
44,79,69
46,80,60
53,91,70
55,88,62
49,85,63
44,76,65
54,73,63
52,86,62
53,81,61
40,76,60
50,73,70
49,79,61
49,82,66
52,79,62
47,87,72
49,76,64
55,76,72
53,77,71
54,77,71
52,78,63
46,91,70
40,73,71
54,75,64
48,84,70
39,73,72
46,96,64
49,77,65
48,82,64
38,84,63
41,84,67
43,74,67
44,75,66
55,81,56
55,79,63
45,81,61
53,81,61
39,85,65
50,73,69
46,83,68
54,99,68
48,86,65
40,82,64
47,82,70
53,85,65
55,73,64
53,78,72
39,76,71
47,74,69
44,83,65
55,90,63
53,83,72
52,89,71
52,85,70
33,84,64
53,79,62
49,76,70
54,79,69
51,79,68
55,74,62
50,77,71
53,83,69
47,85,69
51,89,60
55,86,71
46,75,57
45,74,65
